2026-07-27T19:19:33.609552298Z [inf]  Starting Container
2026-07-27T19:19:34.353989714Z [err]  INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
2026-07-27T19:19:34.353997408Z [err]  INFO  [alembic.runtime.migration] Will assume transactional DDL.
2026-07-27T19:19:34.354000918Z [err]  INFO  [alembic.runtime.migration] Running upgrade t4u5v6w7x8y9 -> u5v6w7x8y9z0, mute_delete_mode: add delete_msgs_until to chat_settings.
2026-07-27T19:19:37.443979125Z [err]  INFO:     Started server process [5]
2026-07-27T19:19:37.443982894Z [err]  INFO:     Waiting for application startup.
2026-07-27T19:19:37.443986231Z [inf]  2026-07-27T19:19:37+0000 | INFO     | app.main | Starting Telegram Business Bot (environment=production)
2026-07-27T19:19:37.443991010Z [inf]  2026-07-27T19:19:37+0000 | INFO     | app.main | Database dialect: postgresql (persistent)
2026-07-27T19:19:38.504938956Z [inf]  2026-07-27T19:19:38+0000 | INFO     | app.main | Telegram webhook set to https://telegram-business-bot-production.up.railway.app/webhook
2026-07-27T19:19:38.504942282Z [inf]  2026-07-27T19:19:38+0000 | INFO     | app.main | Telegram chat menu button set to open mini app
2026-07-27T19:19:38.504946419Z [err]  INFO:     Application startup complete.
2026-07-27T19:19:38.504949986Z [err]  INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)
2026-07-27T19:19:42.740539556Z [inf]  2026-07-27T19:19:42+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967824
2026-07-27T19:19:42.798621274Z [inf]  2026-07-27T19:19:42+0000 | INFO     | app.services.message_service | Stored new business message chat_id=1780262312 message_id=156881 media=text
2026-07-27T19:19:42.811905201Z [inf]  2026-07-27T19:19:42+0000 | INFO     | aiogram.event | Update id=745967824 is handled. Duration 71 ms by bot id=1162707887
2026-07-27T19:19:42.811909266Z [inf]  2026-07-27T19:19:42+0000 | INFO     | http | POST /webhook -> 200 (72.6ms)
2026-07-27T19:19:43.582130228Z [inf]  2026-07-27T19:19:43+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967825
2026-07-27T19:19:43.582133785Z [inf]  2026-07-27T19:19:43+0000 | INFO     | app.services.message_service | Stored new business message chat_id=6470752124 message_id=652704 media=text
2026-07-27T19:19:43.582138700Z [inf]  2026-07-27T19:19:43+0000 | INFO     | aiogram.event | Update id=745967825 is handled. Duration 28 ms by bot id=1162707887
2026-07-27T19:19:43.582142007Z [inf]  2026-07-27T19:19:43+0000 | INFO     | http | POST /webhook -> 200 (28.8ms)
2026-07-27T19:20:03.338205577Z [inf]  2026-07-27T19:19:54+0000 | INFO     | app.routers.webhook | Received Telegram update update_id=745967826
